texto,sentimento
"que livro! vale muito a pena a leitura.ele traz pontos que pode ser usado no dia-dia nas relações com pessoas e também super aplicável no trabalho, em negociações...",satisfação
"ótimo, pois o conhecimento que este livro passa muda as formas de pensar, agir  com as pessoas e com isso tornar/criar relacionamentos saudáveis com essas.",satisfação
"satisfação total e muito agradecido com o comprometimento da amazon em suas entregas, fiz o pedido no dia 05/09 de madrugada, quando foi hoje a tarde 08/09 já entregaram, maravilhoso, super recomendo.",satisfação
leitura obrigatória para quem deseja sucesso profissional e melhorias em todos os relacionamentos. um dos melhores livros que já li.,satisfação
"livro muito bom e interessante, trás uns "" insights"" para a vida, de fato. acredito que deveria ser como um paradidático nas escolas, ajudaria bastante no desenvolvimento pessoal.",satisfação
"                    a mídia não pôde ser carregada.                 ansiosa para ler, hegou em perfeito estado.",satisfação
"gosto de comprar na amazon, sempre supera minhas espectativas na entrega, sempre bem embalados os produtos. livro muito top e atual, apesar de ter sido lançado a muito tempo atrás.",satisfação
"eu mal iniciei a leitura e já estou adorando os exemplos e orientações dadas nesse livro. eu sempre estou em meio a várias pessoas, principalmente estudantes, então com certeza irá potencializar minha boa relação com as pessoas.",satisfação
livro que faz a gente rever as nossas ações e tentar melhorar como pessoa... simplesmente fantástico!!!,satisfação
chegou antes da data prevista. td certinho.,satisfação
                    a mídia não pôde ser carregada.                 acabei de retirar o livro da embalagem e a surpresa foi o livro estar descolando. fiz questão de comprar um novo para não ter esse tipo de problema. decepcionada.,insatisfação
"deveria ser obrigatório  ler esse livro! fiz o curso do dale também, e foram excepcionais para a minha carreira profissional.",satisfação
simplesmente essencial para uma melhor comunicação e entendimento de como funciona o trato com as pessoas. esse livro mudou minha vida.,satisfação
todos deveriam ler esse livro pois te alavanca na carreira e faz você saber se comunicar com as outras pessoas de forma leve,satisfação
"modéstia parte, eu sou um ávido leitor. nó entrando havia muito tempo que eu não esbarrava em um livro tão bom diante do que se propõe. leitura obrigatória.",satisfação
"entregue em 3 dias, maravilhoso!!!!",satisfação
"fiquei simplesmente apaixonada por esse livro, nunca tinha visto algo parecido, traz com clareza como devemos tratar as pessoas para sermos amadas, recomendo a todos.",satisfação
"o produto chegou no tempo estimado e em ótimo conservação, a minha nota é questão de tempo de entrega e cuidado com o produto, veio embalado e lacrado, excelente.",satisfação
"o único problema e que tem muitos exemplos.mais e ótimo,já aprendi muito lendo apenas 10 páginas.",satisfação
sem comentários.,satisfação
"bem embalado, perfeito estado e entrega hiper rápida !",satisfação
"gostei muito das lições ensinadas no livro, realmente muito inspirador para o dia a dia!!!!",satisfação
livro com folhas bem cheirosas e capa bonita. leitura maravilhosa para a vida toda.,satisfação
"se aplicados, os princípios do livro podem fazer muita diferença não só no trabalho, mas na vida pessoal tbm. vale a pena ler.",satisfação
"uma boa leitura para relembrar o que já sabemos, mas não conseguimos muitas vezes adotar. serve como reflexão e melhora de qualidade de vida. 😁",satisfação
todos deveriam ler esse livro. muito bom!,satisfação
excelente!!! estou fazendo o treinamento e realmente é impactante!!!aprendemos a vivenciar com uma nova mentalidade e assim vivemos uma nova realidade!!!,satisfação
um livro sensacional que muitas pessoas deveria ler e aplicar!! mudou muito minha mentalidade.,satisfação
o produto veio intacto e sem amassados.,satisfação
"o conteúdo do livro é ótimo, os ensinamentos são super úteis e atualizados. porém a capa deixa a desejar. além de ser fosca e mole, é feita de um material grudento e suja muito!",insatisfação
"gostei bastante do livro, porém senti que ele é um pouco repetitivo da parte 3 para a 4.",satisfação
um contexto bom sobre formas diferentes de abordagem pessoal e profissional. vale a pena a leitura.,satisfação
"eu super recomendo esse livro! ajuda muito, estou encantada com o autor e já li outro dele e vou ler mais.",satisfação
"é realmente uma fonte inesgotável de dicas valiosas, com exemplos práticos, sobre como podemos nos relacionar melhor. recomendo a compra, é útil por toda a vida!",satisfação
"em perfeitas condições, bem embalado e entrega rápida e dentro do prazo, adorei.",satisfação
"gostei muito deste livro. o mais interessante é que o autor vai argumentando sobre cada subtema e para fortificar sua argumentação, ele dar vários exemplos de acontecimentos reais.",satisfação
"estava muito ansiosa por essa chegada, e a pesar de não concluído , me apaixonei por cada página . em breve comprei os semelhantes ⭐️⭐️⭐️⭐️⭐️.",satisfação
dicas valiosíssimas sobre relações humanas. apliquei alguns conceitos e o resultado foi imediato! recomendo!,satisfação
"livro com conteúdo bom , mas exemplos muito antigos.",neutro
"toda pessoa tem q ler este livro, nos faz ser melhores seres humanos.",satisfação
"                    a mídia não pôde ser carregada.                 gostei da qualidade do produto e da embalagem, principalmente.",satisfação
bom.,satisfação
melhor livro de autoajuda / desenvolvimento pessoal que já li. simplesmente fantástico!,satisfação
"um guia definitivo de relações humanas, recomendo a todos, não é um livro para gerentes, ceo ou vendedor, é um livro para qualquer pessoa que deseje melhorar suas relações humanas.",satisfação
livro de tamanho médio. qualidade boa.,satisfação
chegou como o esperado.,satisfação
"recomendo a compra. entrega na data prevista. e uma excelente leitura, todos deveriam ler.",satisfação
"adorei!!! chegou rápido, menos de 1 semana desde que fiz o pedido, literalmente chegou em dois dias e veio muito bem embalado!!!",satisfação
"gostei muito do livro...me deu vários insights de como mudar o tratamento com as pessoas mesmo em situações difíceis, delicadas ou sob pressão... recomendo.",satisfação
"conforme o anúncio..sobre o envio, a entrega sensacional de sempre, chegando antes da data marcado para ser entregue",satisfação
excelente livro! conceitos aplicáveis a todas as áreas da vida. leitura obrigatória para lideres. recomendo muitíssimo.,satisfação
"o produto foi entregue de maneira rápida,  exatamente conforme descrito pelo vendedor..estou muito satisfeita",satisfação
"o livro, de texto leve e de fácil entendimento, é melhor do que eu esperava. a maioria das lições são aplicáveis.",satisfação
"livro simplesmente espetacular. talvez sirva mais para alguns que para outros, mas acredito que se todas as pessoas lessem as relações se tornariam muito mais fluidas, no minimo.",satisfação
"um livro com princípios e ideias sensacionais que ensinam como lidar com as pessoas e o real sentido disso, que é usando a empatia.simplesmente sensacional.",satisfação
fez-me mudar o modo de debater e de vê as outras pessoas.,satisfação
uma verdadeira obra prima. livro atemporal com conselhos valiosíssimos.,satisfação
recomendo,satisfação
"super indico, me ajudou a perceber quanto eu estava errando ao me relacionar com pessoas. você vai aprender princípios fáceis de serem aplicados.",satisfação
"é um livro fantástico, de leitura simples e muito rica. o autor nos dá dicas que colaboram para que tenhamos sucesso nos relacionamentos sociais na vida pessoal e profissional.",satisfação
excelente,satisfação
"são hábitos simples, q com um toque de percepção e dedicação a alguns tópicos podem mudar a forma como as pessoas te tratam ou podem tratar no futuro",satisfação
incrível,satisfação
produto em excelente estado. entrega super rápida! feliz com a aquisição!,satisfação
"livro é maravilhoso, te faz refletir sobre várias coidas.",satisfação
essa deveria ser uma leitura obrigatória para todos,satisfação
"um livro fundamental para os que procuram transcender os próprios conhecimentos, ensinando uma maneira de se conectar de forma adequada a outros indivíduos.",satisfação
um dos melhores que já li. não é a toa que foi recomendado por buffett. leitura bem fácil e agradável.,satisfação
"ótimo livro para reflexões de relações interpessoais, de forma prática levanta diversas atitudes simples a serem usadas por qualquer pessoa para melhorar suas relações.",satisfação
"ainda estou lendo o livro, porém apresenta uma didática muito boa e é lido facilmente.",satisfação
produto chegou bem embalado. começando a leitura ótimo 👍,satisfação
muito bom aprendendo muito,satisfação
muito bom,satisfação
gostei muito das experiências práticas de diversas pessoas no livro que nos ajudam a ver como podemos aplicar cada ensinamento no nosso dia a dia.,satisfação
"muito bom o livro, ajuda bastante no desenvolvimento pessoal e profissional de todas as pessoas que tem vontade de aprender",satisfação
ótimo para vendas,satisfação
"livro maravilhoso,deveria ser dado para cada ser humano ler quando criança,para quando atingir a idade adulta ter mais empatia no trato com as pessoas.",satisfação
excelente livro. recomendo.,satisfação
"livro muito bom, apesar de ter sido escrito na década de 1930, seus ensinamentos são muito úteis para os dias de hoje.",satisfação
"veio rápido e em perfeito estado, maravilhoso!",satisfação
a entrega mais rápida que já tive. recebi no outro dia. agora bora pra leitura. li a amostra no kindle e já adorei.,satisfação
chegou perfeito estado os livros.,satisfação
"é bom, trás vários exemplos legais e de modo geral ensina bastante. boa leitura de domingo. tem que escrever mais 4 palavras.",satisfação
"livro veio muito bem embalado, sem amassados, entrega muito rápida",satisfação
entrega perfeita. ok.,satisfação
um dos melhores livros (se não o melhor) de relações pessoais.,satisfação
livro bem fundamentado...,satisfação
"surpreso e satisfeito com a velocidade da entrega! o pagamento do produto foi confirmado ontem de manhã, e hoje já recebi ele. veio em perfeito estado!",satisfação
"ainda estou na página 90, mas o livro já está me ajudando muito nas vendas.",satisfação
"o produto é de ótima qualidadeo livro é maravilhoso mudou minha forma de pensar a respeito das outras pessoas, conteúdo indispensável",satisfação
"esse livro foi incrível, devorei em poucos dias. indico muito pra todo mundo que quer ter relações mais conscientes, pessoais e profissionais.",satisfação
"livro bonito, filhas grossas, amarelas, letras grandes, muito bem editado",satisfação
superr recomendado este livro para todo tipo de publicote ajuda com auto estima e tem todos os requisitos necesarios,satisfação
não tem como descrever a perfeição que é esse livro!,satisfação
"é um livro que todos deveriam ler, independente de profissão, conhecimento, contatos etc... o livro é praticamente um manual da comunicação e bons modos.",satisfação
muito bom 😊,satisfação
bons conselhos de forma prática e fácil de entender,satisfação
chegou antes do prazo. li a primeira parte e já gostei muito. recomendo pra todos,satisfação
entrega excelente! chegou em perfeito estado e antes do prazo.,satisfação
muito bom,satisfação
"ótimo livro, leitura surpreendente e inspiradora, recomento!!!!!",satisfação
várias dicas,satisfação
"produto muito bom, chegou bem conservado e protegido. muito rapido. e vale muito a pena !",satisfação
até minha filha de 14 anos leu e adorou!,satisfação
"maravilhoso o livro, chegou em perfeito estado, entrega super rápida",satisfação
bom saber como certas coisas não mudam com o tempo.,satisfação
livro mostra que o segredo da boa comunicação é ter empatia com os outros.,satisfação
"um manual para praticamente todas as situações, mais validas ainda pra quem trabalha com vendas.",satisfação
"chegou perfeitamente, bem embalado e tô doida pra iniciar a leitura.",satisfação
"livro ótimo, recomendo leitura.",satisfação
produto bem embalado e folhas amarelinhas facilitando uma leitura não cansativa,satisfação
"produto veio danificado na ponta, ainda meio esverdeado, como se fossem fungos..",insatisfação
sua vida vai se transformar após ler este livro.,satisfação
excelente livro para quem está precisando melhorar nas relações interpessoais! o autor faz através de exemplos você melhorar na forma como lidar com as pessoas,satisfação
"muito bom, excelente visão.",satisfação
um ótimo livro tanto para se relacionar melhor quanto para melhorar o autoconhecimento.,satisfação
fundamental para as relações interpessoais.,satisfação
produto bem embalado e entregue corretamente.,satisfação
ótimo livro,satisfação
exdcelnete,satisfação
livro ótimo para aprender a lidar com as pessoas.,satisfação
"o produto chegou bem embalado, antes do prazo, super recomendo.",satisfação
melhor livro sobre relacionamento humano que existe.,satisfação
realmente é um dos poucos livros que fazem a mudança no nosso jeito de pensarvale a pena o investimento!,satisfação
gostei muito do livro.,satisfação
todo mundo deveria ler.,satisfação
o livro veio com uns amassos na capa.,neutro
há tempos queria e comprei por um preço ótimo.,satisfação
"parece uma simples livro de autoajuda, mas creio que todo mundo deveria ler. é um pequeno manual básico de como agir em sociedade.",satisfação
um livro impar... imprescindível para quem trabalha e lidera equipes... em 2030... este livro continuará sendo atual!! recomendo a leitura e releitura!!!,satisfação
muito bem embalado.,satisfação
ótimo livro,satisfação
"um dos melhores livros que já li, sem dúvidas!! e a entrega dentro do prazo.",satisfação
"passou um pouco do prazo de entrega, mas isto já foi erro meu. não tenho oq comentar do conteúdo do livro.",satisfação
o livro nos estrutura e nos da exemplos claros daquilo que jesus nos ensinou quando veio ao mundo.. simples assim.,satisfação
muito bom!,satisfação
"o livro chegou na data prevista para a entrega, chegou em bom estado e bem lacrado.",satisfação
um ritual de boas práticas educacionais!vai variar do seu perfil e do seu temperamento! mas vale o aprendizado.,neutro
"o livro é muito bom, mas chegou bastante amassado.",neutro
"muito maravilhoso, melhor livro que já li na minha vida, já tinha escutado muito sobre ele e superou minhas expectativas!!",satisfação
excelente sem comentários,satisfação
"título do livro pode até enganar, a leitura vai bem mais além ao que o título de propõe. ótima leitura.",satisfação
"adorei o livro, vale muito a leitura.",satisfação
esse livro é embaçado em...super recomendo pra quem tem dificuldades de se relacionar com as pessoas.,satisfação
ótimo livro,satisfação
o livro foi me recomendado é realmente muito bom,satisfação
"livro nota 10, transformador, recomendo",satisfação
todo mundo deveria ler esse livro!,satisfação
"estou com 47 anos, gostaria te ter lido este livro pela primeira vez há uns trinta anos atrás... mas, nunca é tarde para começar. 😊",satisfação
livro indispensável para quem deseja lidar com pessoas. chego novinho sem nenhum amassado.,satisfação
é um excelente livro!,satisfação
estou aprendendo muito!,satisfação
"ótima leitura, livro muito bom",satisfação
livros excelente com dicas que realmente fazem a diferença!,satisfação
com certeza é muito obrigatório,satisfação
"leitura maravilhosa, entrega rápida!",satisfação
ok,satisfação
"incrível, entrega no dia seguinte.",satisfação
"ótimo produto , chegou muito rápido e o livro é muito top !",satisfação
"sensacional, é melhor livro que já li",satisfação
o livro foi indicado e amei,satisfação
=),satisfação
"o livro possui uma linguagem clara, objetiva com muitos exemplos aplicados, o que torna ainda mais real.",satisfação
ensinamentos atemporais que todos deveriam ler. me arrependo de não ter lido antes. recomendo!,satisfação
"livro muito interessante, que ajuda demais nas relações interpessoais. recomendo bastante.",satisfação
muito bom,satisfação
livro excelente e necessário parar todos. todo mundo deveria ler!,satisfação
gostei muito!,satisfação
livro maravilhoso! super indico!,satisfação
ótimo livro!,satisfação
muito bom!,satisfação
livro muda sua percepção do mundo!,satisfação
ótimo livro,satisfação
livro excelente que traz ensinamentos para a vida. ler e reler,satisfação
"perfeito, apenas leiam e pratiquem o que está escrito.",satisfação
chegou no dia certinho e muito bem embalado,satisfação
o livro é mto bom,satisfação
livro fácil de ler e fundamentos necessários para um bom relacionamento.,satisfação
este livro é uma importante fonte de conhecimento!,satisfação
muito bom bem embalado os produtos.,satisfação
"entrega muito rápida, 100% satisfeito!",satisfação
"ótimo, melhor impossível, chegou antes do prazo esperado 🤩🤩🤩",satisfação
produto chegou perfeito,satisfação
excelente livro!!!recomendo muito.,satisfação
eu amei! muitas pessoas me indicaram ele.,satisfação
ainda não iniciei a leitura.mas foi muito indicada por quem já leu.,satisfação
livro curto e ótimo de ler,satisfação
"um dos melhores livros que já li na vida, apliquei as lições e elas funcionaram automaticamente",satisfação
livro de excelência!,satisfação
livro excelente. relendo.,satisfação
"adorei o livro é de fácil intendimento, muitos exemplos práticos e atuais indico a todos",satisfação
muito bom,satisfação
melhor livro do mundo .,satisfação
chegou em perfeito estado e muito rápido... excelente leitura,satisfação
muito bom!,satisfação
"livro maravilhoso, linguagem direta e o conteúdo é sensacional 👏🏼👏🏼",neutro
entrega rapida/melhor preço,satisfação
vou comprar mais,satisfação
chegou bem antes do prazo ^^,satisfação
"amei , chegou perfeito e muito rápido",satisfação
livro sensacional,satisfação
muito bom livro!,satisfação
muito bom!,satisfação
recomendo,satisfação
livro de fácil compreendimento!,satisfação
um dos melhores livros que já li!,satisfação
o livro veio em ótimo estado!!,satisfação
livro útil em qualquer época.,satisfação
"muito bom, veio bem embalado e chegou rapidamente.",satisfação
gostei,satisfação
amando a leitura.,satisfação
amei o livro♥️,satisfação
rápida entrega e lindo livro,satisfação
ótimo,satisfação
"amei o livro super recomendo, aproventem",satisfação
livro chegou em ótimas condições.,satisfação
produto muito bom!!,satisfação
"ótimo livro, chegou rápido na minha casa. obrigado amazon",satisfação
ótimo livro,satisfação
excelente conteúdo com bons exemplos a serem aplicados,satisfação
ansiosa para ler,satisfação
ótimo produto,satisfação
"realmente, faz o que promete fazer.",satisfação
excelente livro !,satisfação
exelente,satisfação
maravilhoso.,satisfação
muito bom!!,satisfação
bom,satisfação
"o universo é composto de 84,5% de matéria escura, uma forma de matéria que temos muita dificuldade de detectar — apesar de seu significativo impacto na realidade. ""como fazer amigos e influenciar pessoas"" é um destes livros que é como matéria escura do pensamento contemporâneo.não o vemos ganhando destaque em círculos intelectuais na academia ou sendo aclamado como queridinho pelas estrelas da cultura pop. pelo contrário: é comum ler críticas menosprezando-o como bobagem de autoajuda. apesar desta reputação, o livro é onipresente. é difícil não encontrá-lo em posições de destaque em livrarias de rodoviárias, aeroportos ou shoppings. onde quer que se vá, lá está dale carnegie. o que há de tão especial aqui?a promessa do livro é que a maior parte do sucesso não está na técnica e sim em como relacionar-se com outros seres humanos. para isso, apresenta regras que separo livremente em 3 seções:1. como tornar-se uma pessoa mais amigável2. como conversar demonstrando respeito pelas outras pessoas3. como incentivar mudanças de atitude e comportamento (liderança)a primeira parte possui um ar filosófico-religioso, nos convidando a abandonar o hábito da queixa, crítica e condenação dos demais — costume que já era popular muito antes do tempo do autor e permanece até hoje (e por que reparas tu no argueiro que está no olho do teu irmão, e não vês a trave que está no teu olho? mateus 7:3; não se queixe da neve no telhado da casa do seu vizinho, quando a soleira da sua porta não está limpa. confúcio).a segunda parte é sobre empatia. o incentivo é para demonstrar respeito à pessoa com quem se fala, levando em consideração seus sentimentos ao invés de somente falar o que desejamos. isso significa tanto regras que são exemplos de bom senso como ""procure honestamente ver as coisas do ponto de vista da outra pessoa"" quanto pontos não tão óbvios como ""a única maneira de ganhar uma discussão é evitá-la"".por último, o livro apresenta conselhos sobre como um líder deve se comunicar para melhorar o comportamento da sua equipe. assim como na segunda parte, o foco está em como comunicar-se com respeito ao outro — especialmente ao efetuar uma correção necessária (""fale sobre os seus erros antes de criticar os de outra pessoa"").do ponto de vista de estilo, o livro traz muitos exemplos antigos de como aplicar as regras (como cartas muito formais, impensáveis nos anos 2020) que são um charme à parte, datando a obra de uma maneira delicada e reforçando a sua identidade. além disso, também possui histórias que despertam os sentimentos mais nobres em nós, sendo uma leitura inspiradora — daquelas que dão vontade de iniciar mudanças na vida imediatamente.""como fazer amigos e influenciar pessoas"" é um livro de quase 100 anos de idade e que permanece atual, merecendo seu lugar de destaque (junto com napoleon hill) no panteão de autoajuda e desenvolvimento pessoal. li este livro depois de ter passado por muitos outros autores contemporâneos de autoajuda e compreendi que muitas das ideias que vemos no setor na verdade são modificações / derivações / atualizações do que já foi falado aqui.recomendado para quem busca desenvolver-se como ser humano e quer se tocado pelo espírito criador do século xx.",satisfação
"desde criança sempre ouvi falar sobre esse livro, todos falavam que era um ótimo livro, que realmente fazia diferença na vida das pessoas que o liam e realmente utilizavam-se dos conselhos descritos nele. porém sempre tive um pé atrás com o livro, é aquele velho ditado: ""nunca julgue um livro pela capa"" entretanto era o que eu fazia com esse. só agora em 2020, em plena quarentena, resolvi comprar esse livro, comecei a ler a achei tão interessante e envolvente que li em apenas uma noite e uma manhã. e mesmo sendo lançado em meados de 1938 essa obra ainda é muito atual, revelando que as interações humanas não se modificam com o passar do tempo, tanto é que se você ler o livro e interpreta-lo no contexto atual, você terá a impressão que ele foi escrito recentemente. portanto, se a pessoa comprar no intuito de ter uma relação interpessoal melhor, é certeza que irá conseguir, desde que utiliza-se dos princípios nele descrito. a parte inicial dos 6 primeiros princípios em relação a amizade são coisas tão comuns que você já até imagina mas talvez nunca tenha dado total importância a isso, e ao ler você nota que realmente são coisas que fazem a total diferença, basta ler e interpretar como se alguém estivesse fazendo esses princípios com você. se após a leitura, você realizar ao menos 50% dos princípios, pode ter certeza que sua vida em relação a amizades irá melhorar e muito. não é à toa que esse livro, mesmo após mais de 80 anos do lançamento, ainda seja um dos mais vendidos do mundo. o único arrependimento que eu tenho é de ter lido antes, quando eu era bem mais novo.",satisfação
"adquiri esse livro por pura curiosidade pois ao entrar em qualquer livraria essa é a prima obra que chega aos olhos de quem está entrando, estando sempre nas primeiras prateleiras e vidrarias. por conseguinte, realizei a leitura de parte da obra. os pontos principais se resumem em ""ser bom"", ""ser tolerante"", ""estar realmente interessado no que o outro tem a falar"" e ""ser tolerante"". desse modo, não julgo quem acha esse livro um divisor de águas, mas para qualquer indivíduo minimamente politizado, é simples perca de tempo, além de estar totalmente desatualizado. para curiosos de plantão que vivem em cavernas no século xxi, talvez possa valer a pena, mas para demais indivíduos, duvido da necessidade dessa leitura.",neutro
"uma obra prima realmente, que trata da principal atribuição social que o ser humano deve ter, na minha opinião: a empatia. aliás, os melhores livros de negócios são, em realidade, livros sobre pessoas, sobre escutá-las de verdade para entendê-las profundamente, aumentando sua percepção sobre elas e ao mesmo tempo sobre você mesmo; é também sobre procurar acordos dadas as várias nuances que o ser humano vai apresentando ao longo da vida e entender isso é crucial para melhorarmos o relacionamento. e aí avançamos como ser humano.",satisfação
"sempre fico com um pé atrás quando o assunto são livros de autoajuda. no entanto, ""como fazer amigos e influenciar pessoas"" acabou superando minhas expectativas.como é um livro com diversos capítulos e subcapítulos, fica fácil se organizar para lê-lo. não é uma leitura difícil, porém é recomendado que a realize mais de uma vez, dado que são abordados diversos tópicos em uma quantidade de páginas relativamente pequena.indo direto ao ponto, caso deseje aperfeiçoar seu modo de lidar com as pessoas, sejam elas filhos, pais, empregados, chefes, etc. esse é o livro para você!",satisfação
"tô lutando pra terminar esse livro... muito cansativo, repetitivo demais! falto 15pg e tudo que deu pra absorver de bom foi 1%... esperava muito mais... se você não comprou, não recomendo! muito clichê😪",insatisfação
"seu conteúdo inicial e muito didático e bem atual, prende a atenção do leitor, porém a medida que vai se prosseguindo aos capítulos seguintes, o tema começa a ser repetitivo, e logo nos brasileiros notaremos que o autor narra estratégias que são muito mais aplicáveis ao tipo de comportamento americano, e então, o conteúdo fica desinteressante. esperava mais deste livro, mais do mesmo!",neutro
o livro é uma aula demonstrativa de aplicar empatia e boas maneiras. recomendado. sucesso centenário.,satisfação
"sem dúvida um dos melhores livros que já li na vida. para quem acredita que com um titulo desse, o livro irá tratar de manipulação e falsidade nas relações humanas, muito pelo contrário. trata-se de um livro que foca em como você sendo verdadeiro e se colocando nos lugar das outras pessoas, pode evoluir em diversos aspectos da vida.",satisfação
"esse livro poderia ter 20 páginas. o que a autora fala é interessante, mas todo capitulo é igual, exemplos e mais exemplos iguais, teve capítulos que pulei inteiro porque já sabia o que ia ser dito. recomendo pra quem tem paciência de ler a mesma coisa por 250 páginas.",insatisfação
"um livro para nos tornarmos pessoas melhores, trazer à tona o olhar para o outro e tirar o que há de melhor nele.  vai fazer você deixar de usar as técnicas de relacionamento e sentir a essência e a importância de, através da técnica, ter a oportunidade de ser e de fazer uma pessoa melhor.",satisfação
"é um bom livro, mas nada de surpreendente. ensina sim algumas técnicas para ter um bom relacionamento social, mas acaba sendo enjoativo com tanto de exemplos que o autor aplica.",satisfação
"boa noitegostaria primeiramente em  agradecer o escritor deste livro dale carnegie , esse livro é uma obra prima muito bom. fácil de ler leve , bem escrito com bons exemplos.sensacional...",satisfação
sinceramente foi o livro que mudou completamente minha vida. dale é diferenciado de todos do genero de desenvolvimento pessoal. comprem sem medo.,satisfação
"comprei para presentear meu namorado, o livro veio em perfeito estado, ele amou e a embalagem de presente veio perfeita e a entrega foi super rápida",satisfação
parabéns pela entrega chegou antes da data prevista. quanto ao livro dispensa comentários. excelente obra temuma abordagem excepcional de como construir ou manter relacionamento  ativo no campo social profissional ou familiar ...,satisfação
"dei de presente pra minha irmã, ela amou!",satisfação
produto muito bom porém me decepcionei com a embalagem... comprei 2 produtos e pedi duas embalagens de presente... foi enviado tudo na mesma embalagem.,satisfação
"é livro indispensável para empreendedores, vendedores e líderes",satisfação
"eu esperava mais por esse livropor sem um exemplar com milhares vendidos.não gostei, e  não indico.",insatisfação
"um dos melhores livros que já li ! me abriu os olhos para detalhes e coisas que eu jamais reparei ! é muito enriquecedor e transformador, toda pessoa deveria lê-lo !",satisfação
leitura fluida com informações bem uteis e embasadas. recomendo.,satisfação
"estou dando 5 estrelas, pois esse livro contém várias dicas de como se sair bem de qualquer situação que envolva o diálogo. pra mim, ele é a a bíblia das relações interpessoais.",satisfação
"sem palavras, queria ter lido este livro a uns 10 anos atrás, muito enriquecedor!",satisfação
chegou embalado corretamente e todo lacrado. veio impecável,satisfação
livro muito bom mesmo.,satisfação
muito bom,satisfação
leitura de fácil entendimento,satisfação
produto chegou antes do prazo e com perfeita qualidade!,satisfação
te faz abrir a mente e pensar primeiramente no próximo ao invés de pensar em si mesmo.,satisfação
"chegou rápido, ainda estou no começo do livro, mais está me surpreendendo",satisfação
bom,satisfação
"livro realmente surpreendente, superou é muito minhas expectativas!",satisfação
alguém me ajudaaaaa,insatisfação
esse livro é um manual de comunicação assertiva. melhor livro que já li sobre o tema. recomendo.,satisfação
melhor livro que já li. mudou minha vida completamente. 👏🏻👏🏻👏🏻,satisfação
muito bom chegou antes do prazoperfeito,satisfação
excelente produto.,satisfação
ótimo livro,satisfação
entrega e livro excelentes!,satisfação
adorei a proposta do livro e os ensinamentos diários dele. utilizo como um guia para ser uma pessoa melhor.,satisfação
"apesar de o ego nem sempre deixar os ensinamentos do livro serem aplicados, livro cheio de conteúdo muito bom. algumas coisas podem parecer lógicas mas tem coisa lógica que é bom a gente ler para ter mais peso. um livro que deveria ser obrigatório para criarmos uma sociedade pelo menos mais agradável de se viver.",satisfação
"livro que nos faz refletir sobre como estamos nos nossos relacionamentos pessoais e profissionais!!!muito booom, acredito que todos devem ler!",satisfação
excelente,satisfação
very good!!,satisfação
